Código;Nome do cargo na Pesquisa;Região;Segmento;Data;;;;;;;;;;;;;;;;
1193;Analista de Importação;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
15;Analista de Infraestrutura de TI;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
37;Analista de Logística;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
42;Analista de Marketing;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
193;Analista de Mídia Digital;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
306;Analista de Operações;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
354;Analista de PCP;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
17;Analista de Pesquisa e Desenvolvimento P&D;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
993;Analista de Planejamento e Controle de Manutenção;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
48;Analista de Processos;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
610;Analista de Produção;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
18;Analista de Projetos;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
628;Analista de Qualidade;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
52;Analista de RH;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
22;Analista de Sistemas;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
1026;Analista de Transportes;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
16;Analista Financeiro;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
381;Analista Jurídico;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
59;Assistente Administrativo;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
