Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários;Menor Salário;1o Quartil;Média;Mediana;3o Quartil;Maior Salário
46;Analista de Negócios;Indiferente;Nacional;TI - Software;2025;200;25;187;4794,33;5433,33;6751,73;6907,01;7662,09;9718,24
46;Analista de Negócios;Júnior;Nacional;TI - Software;2025;200;8;61;4457,85;5433,33;5412,45;5433,33;5433,33;5949,33
46;Analista de Negócios;Pleno;Nacional;TI - Software;2025;200;9;55;5271,34;6907,01;6900,17;6907,01;6907,01;7713,73
46;Analista de Negócios;Sênior;Nacional;TI - Software;2025;200;19;99;6262,12;8481,68;9437,90;10282,70;10282,70;12453,26
306;Analista de Operações;Indiferente;Nacional;TI - Software;2025;200;8;74;2009,98;2493,08;3065,40;2977,46;3408,15;5998,60
306;Analista de Operações;Júnior;Nacional;TI - Software;2025;200;6;53;2009,98;2360,59;2829,07;2604,41;3245,87;4099,64
306;Analista de Operações;Pleno;Nacional;TI - Software;2025;200;4;18;2253,79;3000,86;3567,83;3066,85;4036,08;6342,26
306;Analista de Operações;Sênior;Nacional;TI - Software;2025;200;4;5;3901,07;4112,59;7534,80;5008,32;5998,60;18653,40
1113;Analista de Parcerias;Indiferente;Nacional;TI - Software;2025;200;6;8;3892,30;3938,44;4273,13;4121,62;4399,53;5037,54
1113;Analista de Parcerias;Pleno;Nacional;TI - Software;2025;200;5;5;3892,30;4121,62;4254,12;4121,62;4231,53;4903,54
17;Analista de Pesquisa e Desenvolvimento P&D;Indiferente;Nacional;TI - Software;2025;200;5;18;3480,48;4779,78;5488,62;5234,56;5862,87;8720,96
190;Analista de Planejamento Financeiro;Indiferente;Nacional;TI - Software;2025;200;4;8;3241,43;3628,66;4467,71;3628,66;4295,72;8060,06
438;Analista de Pré-vendas (SDR);Indiferente;Nacional;TI - Software;2025;200;32;154;2564,56;3027,42;3439,04;3682,64;3799,48;4128,10
438;Analista de Pré-vendas (SDR);Júnior;Nacional;TI - Software;2025;200;14;103;2610,45;3185,42;3534,57;3799,48;3799,48;3799,48
438;Analista de Pré-vendas (SDR);Pleno;Nacional;TI - Software;2025;200;18;37;2572,69;2915,66;3291,19;3187,75;3682,64;4152,95
