Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários
834;Gerente de Implantação e Configuração;Indiferente;Nacional;TI - Software;2025;200;6;6
135;Gerente de Infraestrutura de TI;Indiferente;Nacional;TI - Software;2025;200;5;5
112;Gerente de Marketing;Indiferente;Nacional;TI - Software;2025;200;11;11
451;Gerente de Negócios;Indiferente;Nacional;TI - Software;2025;200;5;6
311;Gerente de Operações;Indiferente;Nacional;TI - Software;2025;200;6;6
66;Gerente de Pesquisa e Desenvolvimento P&D;Indiferente;Nacional;TI - Software;2025;200;4;7
407;Gerente de Produto;Indiferente;Nacional;TI - Software;2025;200;19;33
407;Gerente de Produto;Sênior;Nacional;TI - Software;2025;200;4;7
65;Gerente de Projetos;Indiferente;Nacional;TI - Software;2025;200;19;50
65;Gerente de Projetos;Júnior;Nacional;TI - Software;2025;200;5;9
65;Gerente de Projetos;Pleno;Nacional;TI - Software;2025;200;7;16
65;Gerente de Projetos;Sênior;Nacional;TI - Software;2025;200;6;15
113;Gerente de Recursos Humanos;Indiferente;Nacional;TI - Software;2025;200;12;13
408;Gerente de Relacionamento;Indiferente;Nacional;TI - Software;2025;200;10;11
63;Gerente de Tecnologia da Informação;Indiferente;Nacional;TI - Software;2025;200;6;6
452;Gerente de Testes (Qualidade em TI);Indiferente;Nacional;TI - Software;2025;200;4;5
114;Gerente Financeiro;Indiferente;Nacional;TI - Software;2025;200;13;13
1060;Inside Sales;Indiferente;Nacional;TI - Software;2025;200;22;70
1060;Inside Sales;Júnior;Nacional;TI - Software;2025;200;10;17
1060;Inside Sales;Pleno;Nacional;TI - Software;2025;200;10;17
1060;Inside Sales;Sênior;Nacional;TI - Software;2025;200;8;13
1016;Líder Técnico;Indiferente;Nacional;TI - Software;2025;200;22;59
1016;Líder Técnico;Júnior;Nacional;TI - Software;2025;200;4;13
1016;Líder Técnico;Pleno;Nacional;TI - Software;2025;200;5;20
1016;Líder Técnico;Sênior;Nacional;TI - Software;2025;200;5;11
1016;Líder Técnico;Especialista;Nacional;TI - Software;2025;200;4;7
1080;Product Designer;Indiferente;Nacional;TI - Software;2025;200;8;18
1080;Product Designer;Júnior;Nacional;TI - Software;2025;200;6;7
1080;Product Designer;Pleno;Nacional;TI - Software;2025;200;6;15
892;Product Owner;Indiferente;Nacional;TI - Software;2025;200;29;66
892;Product Owner;Júnior;Nacional;TI - Software;2025;200;15;17
892;Product Owner;Pleno;Nacional;TI - Software;2025;200;9;24
